GRB;designation;z;E_iso;instrument;GCN
160203A;IBdHNe 160203A;3.52;12.4;Swift;18998
160227A;IBdHNe 160227A;2.38;5.69;Swift;19106
160509A;IBdHNe 160509A;1.17;82.3;Fermi;19411
160623A;IBdHNe 160623A;0.367;23.3;KW;19554
160625B;IBdHNe 160625B;1.406;443.;Fermi;19587
160804A;IBdHNe 160804A;0.736;2.53;Fermi;19769
161017A;IBdHNe 161017A;2.013;7.79;Fermi;20068
161023A;IBdHNe 161023A;2.708;79.8;KW;20111
161108A;IBdHNe 161108A;1.159;1.71;Swift;20151
161117A;IBdHNe 161117A;1.549;24.8;Fermi;20192
