GRB;designation;z;E_iso(1e52 erg);instrument;GCN;ra(deg);dec(deg);error radius(arcsec);trigger time(UT)
100621A;IBdHNe 100621A;0.542;6.93;KW;10882;315.305;-51.106;1.4;2010-06-21 03:03:32.000
100814A;IBdHNe 100814A;1.44;15.8;Fermi;11099;22.473;-17.995;144.0;2010-08-14 03:50:11.000
100901A;IBdHNe 100901A;1.41;8.09;Swift;11169;27.264;22.759;144.0;2010-09-01 13:34:10.000
100906A;IBdHNe 100906A;1.73;22.5;Fermi;11248;28.684;55.63;144.0;2010-09-06 13:49:27.000
110128A;IBdHNe 110128A;2.339;3.6;Fermi;11628;193.896;28.065;144.0;2011-01-28 01:44:33.000
110205A;IBdHNe 110205A;2.22;41.0;KW;11659;164.63;67.525;144.0;2011-02-05 02:02:41.000
110213A;IBdHNe 110213A;1.46;7.0;Fermi;11727;42.964;49.273;144.0;2011-02-13 05:17:29.000
110422A;IBdHNe 110422A;1.77;62.0;KW;11971;112.047;75.107;1.4;2011-04-22 15:41:55.000
110503A;IBdHNe 110503A;1.613;19.0;KW;12008;132.776;52.208;144.0;2011-05-03 17:35:45.000
110715A;IBdHNe 110715A;0.82;5.6;KW;12166;237.684;-46.235;144.0;2011-07-15 13:13:50.000
110731A;IBdHNe 110731A;2.83;42.0;Fermi;12221;280.504;-28.537;144.0;2011-07-31 11:09:30.000
110808A;IBdHNe 110808A;1.348;6.1;Swift;12262;57.268;-44.194;144.0;2011-08-08 06:18:54.000
111008A;IBdHNe 111008A;4.9898;82.0;KW;12433;60.451;-32.709;1.4;2011-10-08 22:12:58.000
111123A;IBdHNe 111123A;3.1516;70.0;Swift;12598;154.846;-20.645;1.4;2011-11-23 18:13:21.000
111209A;IBdHNe 111209A;0.67;67.0;KW;12663;14.344;-46.801;144.0;2011-12-09 07:12:08.000
111228A;IBdHNe 111228A;0.716;4.1;Fermi;12744;150.067;18.298;144.0;2011-12-28 15:44:43.000
120119A;IBdHNe 120119A;1.73;37.5;Fermi;12874;120.029;-9.082;144.0;2012-01-19 04:04:30.210
120326A;IBdHNe 120326A;1.8;3.7;Fermi;13145;273.905;69.26;144.0;2012-03-26 01:20:29.000
120327A;IBdHNe 120327A;2.81;36.5;Swift;13137;246.864;-29.415;144.0;2012-03-27 02:55:16.000
120712A;IBdHNe 120712A;4.17;18.3;Fermi;13469;169.589;-20.034;144.0;2012-07-12 13:42:27.000
120909A;IBdHNe 120909A;3.93;73.2;Fermi;13737;275.737;-59.449;1.4;2012-09-09 01:42:03.000
120922A;IBdHNe 120922A;3.1;32.0;Fermi;13809;234.748;-20.182;144.0;2012-09-22 22:30:28.000
121024A;IBdHNe 121024A;2.3;10.7;Swift;13899;70.472;-12.291;144.0;2012-10-24 02:56:12.000
121027A;IBdHNe 121027A;1.77;6.55;Swift;13910;63.598;-58.83;1.4;2012-10-27 07:32:29.000
121128A;IBdHNe 121128A;2.2;13.2;Fermi;14012;300.6;54.3;144.0;2012-11-28 05:05:37.000
121217A;IBdHNe 121217A;3.0;24.2;Fermi;14094;153.71;-62.351;144.0;2012-12-17 07:17:47.000
130418A;IBdHNe 130418A;1.218;9.9;KW;14417;149.037;13.667;144.0;2013-04-18 19:00:53.000
130420A;IBdHNe 130420A;1.297;7.74;Fermi;14429;196.106;59.424;144.0;2013-04-20 07:28:29.000
130427A;IBdHNe 130427A;0.338;105.0;Fermi;14473;173.136;27.698;3.5;2013-04-27 07:47:57.000
130427B;IBdHNe 130427B;2.78;5.04;Swift;14469;314.898;-22.546;144.0;2013-04-27 13:20:41.000
130505A;IBdHNe 130505A;2.27;347.0;KW;14575;137.061;17.485;144.0;2013-05-05 08:22:28.000
130514A;IBdHNe 130514A;3.6;52.4;KW+Swift;14702;296.283;-7.976;1.5;2013-05-14 07:13:41.000
130528A;IBdHNe 130528A;1.25;4.4;Fermi;14729;139.505;87.301;1.9;2013-05-28 16:41:23.000
130606A;IBdHNe 130606A;5.91;28.3;KW;14808;249.396;29.796;1.4;2013-06-06 21:04:39.000
130610A;IBdHNe 130610A;2.092;6.99;Fermi;14858;224.42;28.207;144.0;2013-06-10 03:12:13.000
130701A;IBdHNe 130701A;1.155;2.6;KW;14958;357.23;36.1;1.5;2013-07-01 04:17:43.000
130907A;IBdHNe 130907A;1.238;304.0;KW;15203;215.892;45.608;144.0;2013-09-07 21:41:13.000
130925A;IBdHNe 130925A;0.347;18.4;Fermi;15255;41.179;-26.153;1.4;2013-09-25 04:11:24.000
110918A;IBdHNe 110918A;0.982;190.0;KW;12362;98.471;-19.896;1.4;2013-10-18 12:47:48.000
131030A;IBdHNe 131030A;1.293;173.0;KW;15413;345.067;-5.368;144.0;2013-10-30 20:56:18.000
131231A;IBdHNe 131231A;0.642;22.2;Fermi;15644;29.61;-1.579;4.7;2013-10-31 11:33:31.000
131105A;IBdHNe 131105A;1.686;34.7;Fermi;15455;70.967;-62.995;1.4;2013-11-05 02:04:44.000
131117A;IBdHNe 131117A;4.042;1.02;Swift;15499;332.331;-31.762;144.0;2013-11-17 00:34:04.000
140206A;IBdHNe 140206A;2.74;35.9;Fermi;15796;145.334;66.761;144.0;2014-02-06 07:17:20.000
140213A;IBdHNe 140213A;1.2076;9.93;Fermi;15833;105.155;-73.137;144.0;2014-02-13 19:21:37.000
140304A;IBdHNe 140304A;5.283;13.7;Fermi;15923;30.643;33.474;1.6;2014-03-04 13:22:31.000
140311A;IBdHNe 140311A;4.954;11.6;Swift;15962;209.305;0.642;1.5;2014-03-11 21:05:16.000
140419A;IBdHNe 140419A;3.956;186.0;KW;16134;126.99;46.24;144.0;2014-04-19 04:06:51.000
140423A;IBdHNe 140423A;3.26;65.3;Fermi;16152;197.286;49.842;144.0;2014-04-23 08:31:53.000
140506A;IBdHNe 140506A;0.889;1.12;Fermi;16220;276.775;-55.636;144.0;2014-05-06 21:07:36.000
140509A;IBdHNe 140509A;2.4;9.14;Swift;16240;46.595;-62.639;144.0;2014-05-09 02:22:13.000
140512A;IBdHNe 140512A;0.725;7.76;Fermi;16262;289.37;-15.094;144.0;2014-05-12 19:31:49.000
140508A;IBdHNe 140508A;1.027;23.9;Fermi;16224;227.252;42.418;1.5;2014-05-18 09:17:46.000
